"iso3","Year","GPI"
"BEN",2020,2.17799999999999
"BEN",2021,2.123
"BEN",2022,2.125
"BTN",2008,1.883
"BTN",2009,1.89199999999999
"BTN",2010,1.947
"BTN",2011,1.91599999999999
"BTN",2012,1.75299999999999
"BTN",2013,1.68199999999999
"BTN",2014,1.65399999999999
"BTN",2015,1.627
"BTN",2016,1.55499999999999
"BTN",2017,1.58
"BTN",2018,1.494
"BTN",2019,1.473
"BTN",2020,1.489
"BTN",2021,1.478
"BTN",2022,1.481
"BOL",2008,1.931
"BOL",2009,2.012
"BOL",2010,2.039
"BOL",2011,1.974
"BOL",2012,2.03699999999999
"BOL",2013,2.055
"BOL",2014,2.015
"BOL",2015,2.02
"BOL",2016,1.923
"BOL",2017,1.958
"BOL",2018,1.969
"BOL",2019,1.975
"BOL",2020,2.01699999999999
"BOL",2021,2.03799999999999
"BOL",2022,1.989
"BIH",2008,1.736
"BIH",2009,1.78299999999999
"BIH",2010,1.792
"BIH",2011,1.778
"BIH",2012,1.81
"BIH",2013,1.77299999999999
"BIH",2014,1.721
"BIH",2015,1.78099999999999
"BIH",2016,1.76299999999999
"BIH",2017,1.874
"BIH",2018,1.903
"BIH",2019,1.871
"BIH",2020,1.899
"BIH",2021,1.86
"BIH",2022,1.85
"BWA",2008,1.833
"BWA",2009,1.788
"BWA",2010,1.766
"BWA",2011,1.806
"BWA",2012,1.782
"BWA",2013,1.749
"BWA",2014,1.869
"BWA",2015,1.75299999999999
"BWA",2016,1.716
"BWA",2017,1.73
"BWA",2018,1.77499999999999
"BWA",2019,1.79099999999999
"BWA",2020,1.812
"BWA",2021,1.76499999999999
"BWA",2022,1.80099999999999
"BRA",2008,2.02199999999999
"BRA",2009,2.02899999999999
"BRA",2010,2.02999999999999
"BRA",2011,2.019
"BRA",2012,2.052
"BRA",2013,2.03799999999999
"BRA",2014,2.075
"BRA",2015,2.156
"BRA",2016,2.15799999999999
"BRA",2017,2.23499999999999
"BRA",2018,2.213
"BRA",2019,2.37
"BRA",2020,2.41199999999999
"BRA",2021,2.454
"BRA",2022,2.46499999999999
"BGR",2008,1.667
"BGR",2009,1.691
"BGR",2010,1.66799999999999
"BGR",2011,1.609
"BGR",2012,1.64399999999999
"BGR",2013,1.67399999999999
"BGR",2014,1.575
"BGR",2015,1.643
"BGR",2016,1.597
"BGR",2017,1.589
"BGR",2018,1.58
"BGR",2019,1.585
"BGR",2020,1.612
"BGR",2021,1.562
"BGR",2022,1.54099999999999
"BFA",2008,1.858
"BFA",2009,1.774
"BFA",2010,1.712
"BFA",2011,1.735
"BFA",2012,1.68599999999999
"BFA",2013,1.82
"BFA",2014,1.723
"BFA",2015,1.856
"BFA",2016,2.01299999999999
"BFA",2017,2.02099999999999
"BFA",2018,2.04099999999999
"BFA",2019,2.153
"BFA",2020,2.241
"BFA",2021,2.543
"BFA",2022,2.786
"BDI",2008,2.43699999999999
"BDI",2009,2.411
"BDI",2010,2.456
"BDI",2011,2.341
"BDI",2012,2.29
"BDI",2013,2.302
"BDI",2014,2.241
"BDI",2015,2.313
"BDI",2016,2.52899999999999
"BDI",2017,2.531
"BDI",2018,2.48099999999999
"BDI",2019,2.476
"BDI",2020,2.418
"BDI",2021,2.40899999999999
"BDI",2022,2.47
"KHM",2008,1.994
"KHM",2009,2.105
"KHM",2010,2.121
"KHM",2011,2.099
"KHM",2012,2.15499999999999
"KHM",2013,2.137
"KHM",2014,2.121
"KHM",2015,2.04
"KHM",2016,2.00499999999999
"KHM",2017,1.91599999999999
"KHM",2018,2.003
"KHM",2019,1.92799999999999
"KHM",2020,1.889
"KHM",2021,1.91799999999999
"KHM",2022,1.88199999999999
"CMR",2008,1.97
"CMR",2009,2.00899999999999
"CMR",2010,2.101
"CMR",2011,1.986
"CMR",2012,2.01699999999999
"CMR",2013,1.921
"CMR",2014,1.999
"CMR",2015,2.204
"CMR",2016,2.359
"CMR",2017,2.455
"CMR",2018,2.55399999999999
"CMR",2019,2.572
"CMR",2020,2.645
"CMR",2021,2.737
"CMR",2022,2.709
"CAN",2008,1.409
"CAN",2009,1.437
"CAN",2010,1.499
"CAN",2011,1.44
"CAN",2012,1.41399999999999
"CAN",2013,1.30099999999999
"CAN",2014,1.28299999999999
"CAN",2015,1.31
"CAN",2016,1.308
"CAN",2017,1.314
"CAN",2018,1.316
"CAN",2019,1.319
"CAN",2020,1.333
"CAN",2021,1.325
"CAN",2022,1.389
"CAF",2008,2.81
"CAF",2009,2.70299999999999
"CAF",2010,2.611
"CAF",2011,2.67899999999999
"CAF",2012,2.78
"CAF",2013,2.998
"CAF",2014,3.144
"CAF",2015,3.24
"CAF",2016,3.21499999999999
"CAF",2017,3.16599999999999
"CAF",2018,3.164
"CAF",2019,3.16299999999999
"CAF",2020,3.072
"CAF",2021,3.036
"CAF",2022,3.02099999999999
"TCD",2008,2.785
"TCD",2009,2.843
"TCD",2010,2.90799999999999
"TCD",2011,2.668
"TCD",2012,2.612
"TCD",2013,2.361
"TCD",2014,2.438
"TCD",2015,2.454
"TCD",2016,2.414
"TCD",2017,2.523
"TCD",2018,2.44099999999999
"TCD",2019,2.499
"TCD",2020,2.54899999999999
"TCD",2021,2.57799999999999
"TCD",2022,2.591
"CHL",2008,1.691
"CHL",2009,1.68799999999999
"CHL",2010,1.721
"CHL",2011,1.748
"CHL",2012,1.641
"CHL",2013,1.62599999999999
"CHL",2014,1.59
"CHL",2015,1.612
"CHL",2016,1.582
"CHL",2017,1.583
"CHL",2018,1.62799999999999
"CHL",2019,1.65199999999999
"CHL",2020,1.828
"CHL",2021,1.798
"CHL",2022,1.84
"CHN",2008,2.169
"CHN",2009,2.09399999999999
"CHN",2010,2.176
"CHN",2011,2.185
"CHN",2012,2.17499999999999
"CHN",2013,2.088
"CHN",2014,2.091
"CHN",2015,2.116
"CHN",2016,2.099
"CHN",2017,2.121
"CHN",2018,2.06499999999999
"CHN",2019,2.047
"CHN",2020,2.02599999999999
"CHN",2021,2.04999999999999
"CHN",2022,2.00999999999999
"COL",2008,2.797
"COL",2009,2.72699999999999
"COL",2010,2.806
"COL",2011,2.714
"COL",2012,2.648
"COL",2013,2.596
"COL",2014,2.61
"COL",2015,2.67
"COL",2016,2.616
"COL",2017,2.689
"COL",2018,2.69
"COL",2019,2.68599999999999
"COL",2020,2.69099999999999
"COL",2021,2.737
"COL",2022,2.729
"CRI",2008,1.63199999999999
"CRI",2009,1.64599999999999
"CRI",2010,1.655
"CRI",2011,1.78099999999999
"CRI",2012,1.731
"CRI",2013,1.78099999999999
"CRI",2014,1.75699999999999
"CRI",2015,1.698
"CRI",2016,1.689
"CRI",2017,1.701
"CRI",2018,1.748
"CRI",2019,1.728
"CRI",2020,1.704
"CRI",2021,1.715
"CRI",2022,1.732
"CIV",2008,2.38799999999999
"CIV",2009,2.26699999999999
"CIV",2010,2.16299999999999
"CIV",2011,2.366
"CIV",2012,2.318
"CIV",2013,2.523
"CIV",2014,2.37599999999999
"CIV",2015,2.189
"CIV",2016,2.226
"CIV",2017,2.22
"CIV",2018,2.221
"CIV",2019,2.153
"CIV",2020,2.129
"CIV",2021,2.137
"CIV",2022,2.144
"HRV",2008,1.667
"HRV",2009,1.687
"HRV",2010,1.623
